time,asset1_incidenceangle
0,0
13.5,30.5784600919025
14.5,0
43.5,30.4756864790629
44.5,0
73.5,30.3816715117968
74.5,0
103.5,30.2338476877311
104.5,0
133.5,30.1595097977091
134.5,0
163.5,30.1941614568159
164.5,0
192.5,41.7921437889513
193.5,0
222.5,44.2513137805873
223.5,0
252.5,30.3253369624909
253.5,0
282.5,30.4743592005001
283.5,0
312.5,50.9568123210308
313.5,0
343.5,30.1626113071695
344.5,0
373.5,30.1184142690359
374.5,0
403.5,30.2162664065951
404.5,0
433.5,30.2001646404536
434.5,0
463.5,30.3253000970982
464.5,0
493.5,30.6730585302205
494.5,0
523.5,31.3860853018212
524.5,0
553.5,32.2036072043922
554.5,0
583.5,32.9295868619771
584.5,0
613.5,33.9429410156
614.5,0
643.5,35.4054168958172
644.5,0
673.5,30.0945239577836
674.5,0
703.5,30.772524809656
704.5,0
733.5,30.5775618363839
734.5,0
763.5,31.3060623574026
764.5,0
793.5,31.2943499172989
794.5,0
823.5,32.013079994967
824.5,0
853.5,33.639105460818
854.5,0
883.5,33.7235528015402
884.5,0
913.5,35.0556870659614
914.5,0
943.5,35.9801338581792
944.5,0
973.5,37.2793887339094
974.5,0
1003.5,30.8729101817105
1004.5,0
1033.5,52.5984449118309
1034.5,0
1063.5,51.907293551711
1064.5,0
1093.5,38.841284228322
1094.5,0
1123.5,38.7685031452575
1124.5,0
1153.5,38.5687506917347
1154.5,0
1183.5,37.8205654782969
1184.5,0
1213.5,42.3138217041795
1214.5,0
1243.5,35.6174713726085
1244.5,0
1273.5,34.7999823523874
1274.5,0
1303.5,38.7842317274368
1304.5,0
1333.5,37.1326289573445
1334.5,0
1363.5,37.483367765229
1364.5,0
1393.5,31.1776236892085
1394.5,0
1423.5,35.8622505637091
1424.5,0
1453.5,30.4768341493892
1454.5,0
1483.5,30.0868568618638
1484.5,0
1513.5,31.0616995438216
1514.5,0
1543.5,29.9444189420115
1544.5,0
1573.5,30.465773041113
1574.5,0
1603.5,30.6480674503693
1604.5,0
1633.5,30.1008997598283
1634.5,0
1663.5,29.8906281129016
1664.5,0
1693.5,30.299542829043
1694.5,0
1723.5,30.1357371652757
1724.5,0
1753.5,30.1653239696746
1754.5,0
1783.5,30.2083127583466
1784.5,0
1813.5,29.9437908815952
1814.5,0
1843.5,29.8693020281734
1844.5,0
1873.5,39.5720180173474
1874.5,0
1903.5,41.5128290875613
1904.5,0
1933.5,42.7915685385149
1934.5,0
1963.5,43.8559318460227
1964.5,0
1993.5,44.6447665073102
1994.5,0
2022.5,30.14285432539
2023.5,0
2053.5,30.0994220226078
2054.5,0
2083.5,30.0522414255035
2084.5,0
2113.5,30.0358835809778
2114.5,0
2143.5,40.5630215647162
2144.5,0
2173.5,39.0663373387779
2174.5,0
2203.5,30.1024583457335
2204.5,0
2233.5,30.0553873375583
2234.5,0
2263.5,30.1020406999168
2264.5,0
