time,asset2_eci_pointing_vector_xyz_
0,[0; 0; 0]
10,[1512.52611979034; -2009.41257244638; 1370.72418176443]
40,[1511.33840804527; -1841.68289123313; 1244.29768838363]
70,[1503.87188452893; -1674.15429598897; 1118.01897523567]
100,[1485.78141400805; -1507.37340887196; 992.270834262765]
130,[1463.62990703401; -1340.92706390363; 866.763994404178]
160,[2278.73254948428; -2058.67672105241; 1882.36603843062]
190,[2242.66122674838; -1892.51229187286; 1758.35480930843]
220,[2204.86774873257; -1726.56781082291; 1634.50773908627]
250,[2163.88702414329; -1561.26297564184; 1511.11873993344]
280,[1263.85027151459; -521.97975087334; 248.639163562618]
310,[2053.69994714567; -1236.37433508948; 1268.37735496186]
340,[1990.69278128065; -1076.09955221653; 1148.5412144291]
370,[1068.03628552188; -47.0105375700232; -110.665399129032]
400,[994.167229911313; 108.948067623704; -228.76312880213]
430,[1757.38047685087; -609.133742959388; 798.798785887249]
460,[1662.32441531124; -459.916358152716; 686.746666259618]
490,[1106.25658280072; -104.651509365707; -243.212746213563]
520,[1472.28315279939; -161.436647314092; 462.642427004354]
550,[1122.18249411147; -179.563737006859; -511.268037213084]
580,[2697.9651965785; -1946.45730544616; -1244.83506501859]
610,[2579.62051925455; -1808.23858645421; -1346.92894425158]
640,[2461.29241080421; -1669.9947416042; -1449.02282348456]
670,[892.749126686291; 531.656354303781; -60.247503887841]
700,[-101.442388690271; 1517.33449810682; -1303.45026700586]
730,[2087.5770850485; -1268.26721757976; -1746.09314118085]
760,[1944.29953935316; -1147.39887724713; -1835.94993410351]
790,[1801.03830224985; -1026.50524128421; -1925.80672702616]
820,[1657.79328729179; -905.58625416571; -2015.66351994882]
850,[1514.56445451626; -784.641890418493; -2105.52031287148]
880,[-379.276909454667; 968.73480741136; -2115.6746648962]
910,[-546.484001213435; 1285.35567400043; -1631.27748678574]
940,[-436.656609480289; 1131.2423751855; -1447.43452814175]
970,[-884.441439578493; 1259.40148684307; -2342.54803325632]
1000,[695.92858378067; -276.141778393542; -2487.16170938575]
1030,[517.826921352352; -192.491197231516; -2550.79798178679]
1060,[1785.67265762896; -730.359485547865; -2416.23916390435]
1090,[724.242863828493; -237.192356999698; -2199.99614447805]
1120,[79.5090591389808; -74.897548179737; -3042.81681285635]
1150,[-1981.06907418865; 1952.85157237795; -2160.58053666377]
1180,[792.949294864285; -367.925423231887; -2777.95182330623]
1210,[598.423890499129; -311.765226124535; -2820.39609087883]
1240,[-222.325836101392; 92.0133933680518; -2450.99193106709]
1270,[373.833675212043; -192.50480214638; -2622.67955614957]
1300,[273.678520904461; -196.653728097385; -2811.8218379178]
1330,[-1278.55823250116; 312.916368217003; -3347.74977873521]
1360,[-224.877226629503; -68.1527742270318; -2718.11848948788]
1390,[-333.282701727665; -97.5831311768097; -2889.06417302539]
1420,[-795.53302898911; -15.3705522298487; -3049.21889804606]
1450,[-834.328123755784; 24.0426187425719; -2790.86149751347]
1480,[-945.252950374045; -24.8363067083264; -2947.69286895581]
1510,[-1411.71263096266; 28.9817226490932; -3089.09696374439]
1540,[-2252.39758211603; 366.497924671097; -2682.74557546982]
1570,[-1825.69832238504; 36.4263934557684; -3100.09104196392]
1600,[-1868.45872519348; 51.0009554710014; -2822.98301119923]
1630,[-2074.72493261003; 34.8346246679448; -2814.25211290661]
1660,[-1173.78594115468; -131.45713278138; -2560.57221794586]
1690,[-757.461055496246; 138.035546003414; -1646.82491045752]
1720,[-963.793700303408; 119.063312965535; -1633.42036999339]
1750,[-1790.87718982069; -192.454029721882; -2520.35859655347]
1780,[-1372.00050923444; 61.2336224691344; -1592.62871503389]
1810,[-2191.87425434864; -279.46962100237; -2460.99132320145]
1840,[-459.879943773636; -372.178276804911; -3552.82651450894]
1870,[-1973.23032697325; -74.933446898166; -1496.68823846394]
1900,[-859.215372860898; -457.124651693227; -3488.86619679564]
1930,[-1050.83761628586; -518.745596464712; -3443.44754743401]
1960,[-2555.70820854087; -255.537300258127; -1369.45645896446]
1990,[-2745.4196842358; -326.282885283962; -1319.62348768327]
2020,[-2935.13211648044; -397.000497155482; -1269.79051640208]
2050,[-3124.84556646747; -467.690138032202; -1219.95754512089]
2080,[-3303.12095663711; -556.379763133842; -1157.50126399267]
2110,[1678.91607415809; 2703.11384806548; -1345.73798467932]
2140,[1497.04608933696; 2619.83090996053; -1279.13515499831]
2170,[1315.15019197259; 2536.55981130845; -1212.5323253173]
2200,[1133.22836349437; 2453.30051127467; -1145.92949563629]
2230,[965.866951517552; 2353.58303014379; -1067.79430054902]
