time,asset2_eci_pointing_vector_xyz_
2260,[803.270939511198; 2248.46713670827; -985.870914118493]
2290,[640.648919516802; 2143.36287145476; -903.94752768797]
2320,[478.000866158416; 2038.27017745955; -822.024141257446]
2350,[315.326754184667; 1933.18899774349; -740.100754826923]
2380,[436.362271225406; 2759.17719656337; -513.547601347263]
2410,[294.728922433188; 2635.49461035962; -418.177029035547]
2440,[153.068175475145; 2511.8188394039; -322.806456723831]
2470,[11.3800155075751; 2388.14982374277; -227.435884412115]
2500,[-130.335572182033; 2264.48750339044; -132.065312100399]
2530,[-717.453698893348; 1550.5318987265; 560.19757567285]
2560,[-831.551282005212; 1409.72448550705; 666.870818591481]
2590,[-734.746502941551; 899.624840952126; 50.6521367306609]
2620,[-1165.78956764255; -477.203345399312; -3337.53556455369]
2650,[-1276.45081314512; -618.211040028691; -3230.86232163506]
2680,[-1365.26016996567; -768.824473234582; -3117.45130059215]
2710,[-893.854681565792; 1267.62583170854; 627.541472458555]
2740,[-1528.5812176568; -1076.32283539883; -2886.20276110288]
2770,[-1610.27911884537; -1230.04702688082; -2770.57849135824]
2800,[-1153.33435221329; 810.035646189864; 974.414281692457]
2830,[-1750.34121222694; -1544.32260050813; -2534.51468552194]
2860,[-1801.01613726105; -1707.13305936093; -2412.49341405781]
2890,[-1327.45764122861; 327.351137218774; 1338.89636071238]
2920,[-1382.99084482274; 165.715096347805; 1460.91763217651]
2950,[-1953.19150601212; -2195.46611890395; -2046.42959966543]
2980,[-1580.87443086569; -1385.26077740602; 942.039352425515]
3010,[-1621.49862263358; -1347.97192653351; 1387.89691018215]
3040,[-1272.41455703456; -1010.67476524787; 773.676171734495]
3070,[-1539.5376598073; -661.780645096495; 2084.60886088163]
3100,[-1220.90888995442; -596.088374228196; 1294.10448854829]
3130,[-1314.16795452216; -1510.23239290498; 1151.19702661169]
3160,[-1669.13871895271; -2185.16271649449; 2017.49348767487]
3190,[-1201.82408451077; -1097.25148800003; 1673.21174566289]
3220,[-1282.11564152053; -2012.26528454968; 1530.50041221303]
3250,[-1271.48941863893; -2179.59422066682; 1656.93487408014]
3280,[-1236.17348753201; -2344.7504786846; 1781.85331427081]
3310,[-1192.76686490794; -2509.18802453357; 1906.27376640885]
3340,[-1120.88287960954; -2163.99071435815; 2373.34722120885]
3370,[-1024.91532841124; -2089.234304595; 2424.26046600191]
3400,[-983.234066555172; -2253.47401575122; 2548.68091813995]
3430,[-1550.94892737377; 915.296000589948; 3061.49568639968]
3460,[-1484.60100114703; 756.506731494646; 3181.12889232935]
3490,[-767.337219830871; -3315.76404335746; 382.379543206723]
3520,[-2523.64394046177; 1105.7357672788; -1826.83131324506]
3550,[-2458.83107906929; 944.344442781118; -1707.19810731539]
4030,[-3460.58277306756; 540.452194709828; -271.160644134151]
4120,[-1009.41891280442; 491.945768920037; 2447.14841732504]
4150,[-844.148485307878; 391.035915142976; 2522.61891570459]
4180,[-665.600982146771; 307.329968051188; 2586.02482264829]
4210,[-482.702178446151; 229.257632890618; 2645.46771079863]
4240,[-299.818267739451; 151.159109415036; 2704.91059894897]
4270,[-116.949192700609; 73.0343651067042; 2764.35348709931]
4300,[65.9051040674271; -5.11663242662871; 2823.79637524965]
4330,[-2548.63899333953; -1392.83610187685; -922.66899336053]
4360,[454.804119647539; -118.0413313023; 2912.25380021031]
4390,[650.87055896935; -171.477967062449; 2954.33622081844]
4420,[-1951.66233943413; -1571.54175225555; -796.421731536136]
4450,[-1752.67237354951; -1631.15023671247; -754.339310928005]
4480,[1245.4832606189; -312.258984514076; 3066.79828116641]
4510,[-1339.55938959487; -1704.58555496687; -702.27308340525]
4540,[-1812.09701294211; -2747.45508558222; -1375.94289801439]
4570,[-1602.26554355085; -2782.47473316524; -1352.17388962334]
4600,[-2677.90635705859; -2206.04810625328; -633.503298403267]
4630,[-2466.53441586223; -2223.6263005496; -623.938240739546]
4660,[-2254.21104330932; -2234.55913981318; -619.038946021205]
4690,[-2041.87904067711; -2245.51000456686; -614.139651302863]
4720,[-1829.53836855311; -2256.47887588803; -609.240356584522]
4750,[-1617.1889875663; -2267.46573476796; -604.34106186618]
4780,[-1405.74637766521; -2258.0950303303; -613.708869576311]
4810,[-1194.59571322878; -2242.04924990386; -627.763184521409]
4840,[-1569.67855808784; -161.62571117646; 3172.85820777982]
4870,[-1363.02493808168; -146.903194274388; 3158.80389283472]
4900,[-1156.35958577485; -132.208442104535; 3144.74957788962]
4930,[-954.322032742799; -97.5192854041507; 3116.67560565909]
4960,[-753.796655392983; -56.280898763619; 3083.99640783148]
4990,[-553.259363779194; -15.0701992599634; 3051.31721000386]
5020,[-352.710097360653; 26.1128392371065; 3018.63801217624]
5050,[-152.148795653873; 67.2682429902579; 2985.95881434862]
5080,[-1483.33755130257; -953.53455309212; 2447.7292188832]
5110,[-1291.29830783235; -890.183749255763; 2397.13803666047]
5140,[-1099.23956800758; -826.85531036361; 2346.54685443774]
5170,[-907.161282948629; -763.549193711287; 2295.95567221501]
5200,[-541.999084737655; -890.715335015873; 1426.56184697124]
5230,[-361.088762515737; -809.007428273039; 1363.31983941281]
5260,[1151.34998254399; 569.395356546927; 2606.79225408101]
5290,[-1231.06250005315; -3350.43627138453; 249.774319347253]
5320,[170.301252691481; -546.206868079171; 1161.12705593001]
5350,[1674.29688916022; 840.868079658409; 2404.59947059821]
5380,[-696.511390544829; -3079.35034173533; 36.1063285505129]
5410,[2660.0290871319; -978.379457253016; -1571.59125611958]
5440,[-369.492289960354; -2866.04904043143; -129.178106776002]
5470,[-205.945396864545; -2759.41030907704; -211.820324439259]
5500,[-42.373585481203; -2652.77945127604; -294.462542102517]
5530,[103.587549819175; -2531.78380667119; -387.168578464064]
5560,[1236.27053895407; 519.992477325624; 1314.37256123972]
5590,[1548.49492246259; 462.406223082058; 399.558083824392]
5620,[437.944466951384; -234.741541929716; 3032.77302763356]
5650,[2904.43134404655; 104.902694870682; -1715.9741705062]
5680,[-153.434489052634; -2401.31501028976; 1193.90988757043]
5710,[799.524231366936; 169.826438317448; 2725.03370174532]
5740,[909.024217237838; 311.323988269879; 2617.78012866095]
5770,[2254.23782180224; 1291.75345060001; -218.70022262687]
5800,[1239.5907623672; -1324.37062499682; -1304.70412678826]
5830,[2273.75158061378; 1769.05657700519; 380.910180686211]
5860,[2609.07206605917; 1364.08568491592; -1231.18573954279]
5890,[2621.84070359199; 1896.98257845631; -667.802806759629]
5920,[2512.83305171776; 2236.52504039012; 33.6960780056188]
5950,[928.044254023082; -2684.00451451155; -627.414904631604]
