time,asset2_solarpanelpowerin
0,150
30,150
60,150
90,150
120,150
150,150
180,150
210,150
240,150
270,150
300,150
330,150
360,150
390,150
420,150
450,150
480,150
510,150
540,150
570,150
600,150
630,150
660,150
690,150
720,150
750,150
780,150
810,150
840,150
870,150
900,150
930,150
960,150
990,150
1020,150
1050,150
1080,150
1110,150
1140,150
1170,150
1200,150
1230,150
1260,150
1290,150
1320,150
1350,150
1380,150
1410,150
1440,150
1470,150
1500,150
1530,150
1560,150
1590,150
1620,150
1650,150
1680,150
1710,150
1740,75
1750,0
1770,0
1800,0
1830,0
1860,0
1890,0
1920,0
1950,0
1980,0
2010,0
2040,0
2070,0
2100,0
2130,0
2160,0
2190,0
2220,0
2250,0
2280,0
2310,0
2340,0
2370,0
2400,0
2430,0
2460,0
2490,0
2520,0
2550,0
2580,0
2610,0
2640,0
2670,0
2700,0
2730,0
2760,0
2790,0
2820,0
2850,0
2880,0
2910,0
2940,0
2970,0
3000,0
3030,0
3060,0
3090,0
3120,0
3150,0
3180,0
3210,0
3240,0
3270,0
3300,0
3330,0
3360,0
3390,0
3420,0
3435,75
3450,150
3480,150
3510,150
3540,150
4020,150
4110,150
4140,150
4170,150
4200,150
4230,150
4260,150
4290,150
4320,150
4350,150
4380,150
4410,150
4440,150
4470,150
4500,150
4530,150
4560,150
4590,150
4620,150
4650,150
4680,150
4710,150
4740,150
4770,150
4800,150
4830,150
4860,150
4890,150
4920,150
4950,150
4980,150
5010,150
5040,150
5070,150
5100,150
5130,150
5160,150
5190,150
5220,150
5250,150
5280,150
5310,150
5340,150
5370,150
5400,150
5430,150
5460,150
5490,150
5520,150
5550,150
5580,150
5610,150
5640,150
5670,150
5700,150
5730,150
5760,150
5790,150
5820,150
5850,150
5880,150
5910,150
5940,150
5953,150
