time,asset2_databufferfillratio
0,0
14,0.006
44,0.012
74,0.018
104,0.024
134,0.03
164,0.036
194,0.042
224,0.048
254,0.054
284,0.06
314,0.066
344,0.072
374,0.078
404,0.084
434,0.09
464,0.096
494,0.102
524,0.108
554,0.114
584,0.12
614,0.126
644,0.132
674,0.138
704,0.144
734,0.15
764,0.156
794,0.162
824,0.168
854,0.174
884,0.18
914,0.186
944,0.192
974,0.198
1004,0.204
1034,0.21
1064,0.216
1094,0.222
1124,0.228
1154,0.234
1184,0.24
1214,0.246
1244,0.252
1274,0.258
1304,0.264
1334,0.27
1364,0.276
1394,0.282
1424,0.288
1454,0.294
1484,0.3
1514,0.306
1544,0.312
1574,0.318
1604,0.324
1634,0.33
1664,0.336
1694,0.342
1724,0.348
1754,0.354
1784,0.36
1814,0.366
1844,0.372
1874,0.378
1904,0.384
1934,0.39
1964,0.396
1994,0.402
2024,0.408
2054,0.414
2084,0.42
2114,0.426
2144,0.432
2174,0.438
2204,0.444
2234,0.45
2264,0.456
2294,0.462
2324,0.468
2354,0.474
2384,0.48
2414,0.486
2444,0.492
2474,0.498
2504,0.504
2534,0.51
2564,0.516
2594,0.522
2624,0.528
2654,0.534
2684,0.54
2714,0.546
2744,0.552
2774,0.558
2804,0.564
2834,0.57
2864,0.576
2894,0.582
2924,0.588
2954,0.594
2984,0.6
3014,0.606
3044,0.612
3074,0.618
3104,0.624
3134,0.63
3164,0.636
3194,0.642
3224,0.648
3254,0.654
3284,0.66
3314,0.666
3343,0.67
3374,0.676
3404,0.682
3433,0.686000000000001
3463,0.690000000000001
3493,0.694000000000001
3522,0.696000000000001
3552,0.698000000000001
4090,0.349
4124,0.355
4154,0.361
4184,0.367
4214,0.373
4244,0.379
4274,0.385
4304,0.391
4333,0.395
4364,0.401
4394,0.407
4423,0.411
4453,0.415
4484,0.421
4513,0.425
4543,0.429
4573,0.433
4604,0.439
4634,0.445
4664,0.451
4694,0.457
4724,0.463
4754,0.469
4784,0.475
4814,0.481
4844,0.487
4874,0.493
4904,0.499
4934,0.505
4964,0.511
4994,0.517
5024,0.523
5054,0.529
5084,0.535
5114,0.541
5144,0.547
5174,0.553
5204,0.559
5234,0.565
5264,0.571
5294,0.577
5324,0.583
5354,0.589
5384,0.595
5414,0.601
5444,0.607
5474,0.613
5504,0.619
5534,0.625
5564,0.631
5594,0.637
5624,0.643
5653,0.647
5684,0.653
5714,0.659
5744,0.665
5774,0.671
5804,0.677
5834,0.683000000000001
5862,0.685000000000001
5894,0.691000000000001
5924,0.697000000000001
5952,0.699000000000001
