time,asset1_eci_pointing_vector_xyz_
1990,[288.98869922536; -235.431346600682; -1474.65486935775]
2020,[2096.92602520475; 680.390130476939; -2392.00903145394]
2050,[-1828.98281345352; -2942.50725750155; -948.358218518595]
2080,[-697.878816039858; -539.673640070911; -3290.18834737363]
2110,[-520.952517342063; -453.840192749794; -3223.58551769262]
2140,[1202.02003390848; 156.969916920612; -1179.32698630513]
2170,[1377.83485196244; 246.138936842579; -1112.72415662412]
2200,[-1092.30317350524; -1511.15620509757; -3017.51636605853]
2230,[-927.002925319534; -1411.35144910585; -2939.38117097126]
2260,[-766.468263097552; -1306.152790088; -2857.45778454073]
2290,[-605.907769015694; -1200.97026892679; -2775.53439811021]
2320,[645.38413822587; 228.471472428168; -2699.87167427075]
2350,[-96.3037320663216; -2007.12924148827; -213.661877856969]
2380,[-141.505884382866; -871.062957103778; -2519.64203087258]
2410,[-4.00374193657353; -746.739851388225; -2424.27145856087]
2440,[133.52440733945; -622.43260001621; -2328.90088624915]
2470,[468.371394543927; -1512.92942936278; 164.495433454758]
2500,[608.171173337527; -1388.21968334144; 259.866005766474]
2530,[526.387680132144; -237.454792003662; -2034.28121952884]
2560,[637.613189787142; -97.068503114217; -1927.60797661021]
2590,[448.287145007013; -790.960201375331; -3465.57278354189]
2620,[860.142779157802; 183.657425170547; -1714.26149077295]
2650,[2029.97242775827; 1674.13325612247; -1613.84891044538]
2680,[2116.47001133908; 1826.39259130231; -1500.43788940246]
2710,[1358.21610490317; -384.143730757337; 1019.47279032543]
2740,[2275.15673833902; 2137.16756581308; -1269.18934991319]
2770,[1527.30508448962; -77.0542496965618; 1250.7213298147]
2800,[1102.46688335887; 247.45494991333; -2676.31819768318]
2830,[1163.29332938678; 406.735949968076; -2555.87866159151]
2860,[1216.4582811123; 568.2648856688; -2433.85739012738]
2890,[841.615516405754; -2494.54794624983; -1883.73057538214]
2920,[901.890913555744; -2333.96956376201; -1761.70930391801]
2950,[962.196245746836; -2173.38659640313; -1639.68803245388]
2980,[998.153777136574; -2008.90741355373; -1514.94185745813]
3010,[1026.13354341143; -1843.14520010279; -1389.30059670972]
3040,[1446.8856122181; 1551.44154036954; -1691.76487924242]
3070,[1469.26089927219; -2806.02455828268; -1334.09295861617]
3100,[1500.16113230477; -2639.39792273392; -1208.45169786775]
3130,[1113.54261874335; -1179.19517201549; -886.13848108411]
3160,[1473.18736164785; 2219.85720164778; -1187.80956249811]
3190,[1502.30434607556; -2136.33243778531; -829.344440753156]
3220,[1099.14495424932; -678.421036802169; -506.835095482771]
3250,[1437.65934015527; 2722.9692397426; -808.506176896774]
3280,[1471.83095145576; -1635.04979109763; -451.557076828261]
3310,[1437.13010686171; -1470.08719008071; -327.13662469022]
3340,[1311.98949422389; 3218.07198867763; -434.746832430023]
3370,[1873.8918662044; -2098.90078546503; 1913.04366535457]
3400,[1465.63449307538; -254.176069800986; -1312.45269078923]
3430,[1274.51405161274; -815.266612577716; 166.941641675628]
3460,[1364.99569780022; -987.919322756047; 2294.62766307136]
3490,[1766.88711352485; -1475.62427116914; 2813.42887336388]
3520,[645.561035995725; 940.343846586902; 721.916142867912]
3550,[576.276597575168; 1097.62171916448; 841.549348797583]
4030,[-622.239183315854; 1143.28952730573; 2724.87373689853]
4120,[3404.96990398415; -559.637643423375; 366.019347410444]
4150,[2923.0085861782; -304.810670108509; 276.841973800324]
4180,[2744.26747912416; -216.557140533505; 340.247880744032]
4210,[2561.16512381923; -133.937663404233; 399.690768894371]
4240,[1496.11245726843; -734.671009708552; 3179.88510529006]
4270,[1314.51702947037; -653.927816627329; 3239.3279934404]
4300,[1132.93064869081; -573.155590314136; 3298.77088159074]
4330,[941.374856757159; -511.017181309026; 3345.14588594327]
4360,[1235.35779634463; -577.688250484987; 3332.48845483216]
4390,[1040.80931359131; -520.552496152395; 3374.5708754403]
4420,[356.927532929603; -342.818774281833; 3471.39314776766]
4450,[162.129301073752; -286.694403304262; 3513.47556837579]
4480,[378.747116068321; -343.072890533239; 3392.13856412055]
4510,[-242.577399127549; -220.199760441737; 3565.54179589855]
4540,[420.810036907193; 512.365313046851; 868.559356044245]
4570,[215.871452564429; 544.346683777859; 892.328364435292]
4600,[10.937137088615; 576.353907606533; 916.097372826339]
4630,[-196.863249778484; 588.101651994985; 925.66243049006]
4660,[-405.602321664487; 593.211868551909; 930.561725208401]
4690,[1530.29970861848; -48.282838967315; 2686.50193539479]
4720,[1322.9782372838; -38.4276266620291; 2691.40123011313]
4750,[1302.61814989491; -106.627724002747; 3305.86037529566]
4780,[1701.63241722351; 83.8119180685198; 3191.93203176789]
4810,[1495.23757799771; 68.4186304515679; 3177.87771682279]
4840,[1288.83249060717; 53.0536816203894; 3163.8234018777]
4870,[1082.41705837137; 37.7170364256635; 3149.7690869326]
4900,[875.991236752186; 22.4086785000873; 3135.7147719875]
4930,[674.194556178751; -12.893558482534; 3107.64079975698]
4960,[1132.82272075281; 198.457616718976; 3311.40502556588]
4990,[2512.34856556907; 2180.04990444862; 1280.94069343288]
5020,[2307.05843051274; 2143.14745338666; 1248.26149560527]
5050,[2101.74690715864; 2106.2622555456; 1215.58229777765]
5080,[1904.63023960605; 2050.13850153558; 1169.42006845365]
5110,[1710.19102118195; 1987.70670740395; 1118.82888623092]
5140,[1515.7303016903; 1925.29202575334; 1068.23770400819]
5170,[1321.24804374671; 1862.89440950635; 1017.64652178546]
5200,[1126.74421006988; 1800.51381150393; 967.055339562728]
5230,[943.842183566103; 1720.08293539299; 903.8133320043]
5260,[-856.709380607374; -453.201404958127; 2774.91037379134]
5290,[585.609346228583; 1547.4023216482; 769.018143015768]
5320,[-1776.84320336728; -868.73828398397; 2462.96225919036]
5350,[1408.05747569791; 2815.15285591829; 1524.66906683143]
5380,[1279.01394663561; 2342.28200193917; 2127.07002664131]
5410,[1077.81775733792; 2609.59899729206; 1363.15404735997]
5440,[-2419.03375398364; -1292.77819190465; 2151.40742756137]
5470,[752.332298345943; 2398.70073619589; 1197.86961203345]
5500,[589.548279650818; 2293.26603547777; 1115.2273943702]
5530,[444.372319452244; 2173.46827010238; 1022.52135800865]
5560,[304.961783725633; 2048.95879871415; 926.509523614366]
5590,[165.52365243471; 1924.45874623978; 830.497689220082]
5620,[-2203.70637834757; -1552.43020120298; 2349.1685804477]
5650,[-67.6091348936698; 1303.53609368364; 1319.7477820496]
5680,[-2393.23746164545; -1744.94318186396; 1712.96809715966]
5710,[-2498.95248822337; -1890.1791952284; 1605.7145240753]
5740,[39.2886588536676; 2857.98979573645; 1187.60489095129]
5770,[-77.1724531015152; 2718.57578826716; 1080.35131786693]
5800,[-193.663668276341; 2579.16311323947; 973.097744782564]
5830,[-295.881245386052; 2433.06069849005; 861.159078158965]
5860,[-876.009787847241; 679.834237712115; -120.811211445611]
5890,[-724.078178466158; 1194.61833345276; 3308.13333734934]
5920,[-804.658842218997; 1040.3253616096; 3190.82957909354]
5950,[-1114.21414955461; 215.692163229282; -472.524080494076]
