time,asset1_depthofdischarge
0,0
1,0.000115
10,0.00027
11,0.000425
15,0.00054
121,0.000655
130,0.00081
131,0.000965
135,0.00108
241,0.001045
250,0.00105
251,0.001055
255,0.00102
361,0.000985
370,0.00099
371,0.000995
375,0.00096
481,0.000925
490,0.00093
491,0.000935
495,0.0009
601,0.000865
610,0.00087
611,0.000875
615,0.00084
721,0.000805
730,0.00081
731,0.000815
735,0.00078
841,0.000745
850,0.00075
851,0.000755
855,0.00072
961,0.000685
970,0.00069
971,0.000695
975,0.00066
1081,0.000625
1090,0.00063
1091,0.000635
1095,0.0006
1201,0.000565
1210,0.00057
1211,0.000575
1215,0.00054
1321,0.000505
1330,0.00051
1331,0.000515
1335,0.00048
1441,0.000445
1450,0.00045
1451,0.000455
1455,0.00042
1561,0.000385
1570,0.00039
1571,0.000395
1575,0.00036
1681,0.000325
1690,0.00033
1691,0.000335
1695,0.0003
1801,0.000265
1810,0.00027
1811,0.000275000000000001
1815,0.000240000000000001
1921,0.000205000000000001
1930,0.000210000000000001
1931,0.000215000000000001
1935,0.000180000000000001
2041,0.000145000000000001
2050,0.000150000000000001
2051,0.000155000000000001
2055,0.000120000000000001
2161,8.50000000000006E-05
2170,9.00000000000006E-05
2171,9.50000000000006E-05
2175,6.00000000000006E-05
2281,2.50000000000006E-05
2290,3.00000000000006E-05
2291,3.50000000000006E-05
2295,6.36968776335234E-19
2401,0
2410,5E-06
2411,1E-05
2415,0
2530,5E-06
2531,1E-05
2535,0
2650,5E-06
2651,1E-05
2655,0
2770,5E-06
2771,1E-05
2775,0
2890,5E-06
2891,1E-05
2895,0
3010,5E-06
3011,1E-05
3015,0
3130,5E-06
3131,1E-05
3135,0
3250,5E-06
3251,1E-05
3255,0
3370,5E-06
3371,1E-05
3375,0
3490,5E-06
3491,1E-05
3495,0
3610,5E-06
3611,1E-05
3615,0
3730,5E-06
3731,1E-05
3735,0
3850,5E-06
3851,1E-05
3855,0
3970,5E-06
3971,1E-05
3975,0
4090,5E-06
4091,1E-05
4095,0
4210,5E-06
4211,1E-05
4215,0
4325,4E-05
4326,8E-05
4330,0.00016
4331,0.00024
4335,0.000355
4441,0.00047
4450,0.000625
4451,0.00078
4455,0.000895
4561,0.00101
4570,0.001165
4571,0.00132
4575,0.001435
4681,0.00155
4690,0.001705
4691,0.00186
4695,0.001975
4801,0.00209
4810,0.002245
4811,0.0024
4815,0.002515
4921,0.00263
4930,0.002785
4931,0.00294
4935,0.003055
5041,0.00317
5050,0.003325
5051,0.00348
5055,0.003595
5161,0.00371
5170,0.003865
5171,0.00402
5175,0.004135
5281,0.00425
5290,0.004405
5291,0.00456
5295,0.004675
5401,0.00479
5410,0.004945
5411,0.0051
5415,0.005215
5521,0.00533
5530,0.005485
5531,0.00564
5535,0.005755
5641,0.00587
5650,0.006025
5651,0.00618
5655,0.006295
5761,0.00641
5770,0.006565
5771,0.00672
5775,0.006835
5881,0.00695
5890,0.007105
5891,0.00725999999999999
5895,0.00737499999999999
6001,0.00748999999999999
6010,0.00764499999999999
6011,0.00779999999999999
6015,0.00791499999999999
6121,0.00802999999999999
6130,0.00818499999999999
6131,0.00834
6135,0.008455
6241,0.00857
6250,0.008725
6251,0.00888
6255,0.008995
6361,0.00911
6370,0.009265
6371,0.00942
6375,0.009535
6481,0.0095
6490,0.009505
6491,0.00951
6495,0.009475
6601,0.00944
6610,0.009445
6611,0.00945
6615,0.009415
6721,0.00938
6730,0.009385
6731,0.00939
6735,0.009355
6841,0.00932
6850,0.009325
6851,0.00933
6855,0.009295
6961,0.00926
6970,0.009265
6971,0.00927
6975,0.00923499999999999
7081,0.00919999999999999
7090,0.00920499999999999
7091,0.00920999999999999
7095,0.00917499999999999
7201,0.00913999999999999
7210,0.00914499999999999
7211,0.00914999999999999
7215,0.00911499999999999
7321,0.00907999999999999
7330,0.00908499999999999
7331,0.00908999999999999
7335,0.00905499999999999
7441,0.00901999999999999
7450,0.00902499999999999
7451,0.00902999999999999
7455,0.00899499999999999
7561,0.00895999999999999
7570,0.00896499999999999
7571,0.00896999999999999
7575,0.00893499999999999
7681,0.00889999999999999
7690,0.00890499999999999
7691,0.00890999999999999
7695,0.00887499999999999
7801,0.00883999999999999
7810,0.00884499999999999
7811,0.00884999999999999
7815,0.00881499999999999
7921,0.00877999999999999
7930,0.00878499999999999
7931,0.00878999999999999
7935,0.00875499999999999
8041,0.00871999999999999
8050,0.00872499999999999
8051,0.00872999999999999
8055,0.00869499999999999
8161,0.00865999999999999
8170,0.00866499999999999
8171,0.00866999999999999
8175,0.00863499999999998
8281,0.00859999999999998
8290,0.00860499999999998
8291,0.00860999999999998
8295,0.00857499999999998
8401,0.00853999999999998
8410,0.00854499999999998
8411,0.00854999999999998
8415,0.00851499999999998
8521,0.00847999999999998
8530,0.00848499999999998
8531,0.00848999999999998
8535,0.00845499999999998
8641,0.00841999999999998
8650,0.00842499999999998
8651,0.00842999999999998
8655,0.00839499999999998
8761,0.00835999999999998
8770,0.00836499999999998
8771,0.00836999999999998
8775,0.00833499999999998
8776,0.00828999999999998
8881,0.00829999999999998
8890,0.00830499999999998
8891,0.00830999999999998
8895,0.00827499999999998
8896,0.00822999999999998
9000,0.00822999999999998
